Index,Name,Year,Nudity,Violence,Language,Genre,Budget,Plot Sentiment,IMDB Rating
306,Point Break,2015,4,6,5,1 6 3,105000000,-0.9804,7.3
307,Poltergeist,2015,3,6,4,10 8,35000000,-0.9932,7.3
308,Rock the Kasbah,2015,4,5,7,2 16 17,15000000,0.6361,5.5
309,Room,2015,5,5,5,4 8,13000000,0.9763,8.1
310,San Andreas,2015,3,6,5,1 6 4,110000000,-0.9525,6.1
311,Self/less,2015,2,6,5,1 11 5,26000000,-0.996,6.5
312,Sicario,2015,1,7,9,1 3 4,30000000,-0.8381,7.6
313,Sinister 2,2015,1,8,5,10 11 8,10000000,-0.9993,5.3
314,Sisters,2015,5,5,10,3 10 11,5000000,0.9872,6
315,Slow West,2015,5,6,5,1 6 4,2000000,-0.9946,6.9
316,Song One,2015,1,2,5,4 16,6000000,0.8807,5.8
317,Spectre,2015,3,6,3,1 6 8,245000000,-0.9921,6.8
318,Spy,2015,2,7,10,1 2 3,65000000,-0.9932,7
319,Steve Jobs,2015,3,2,7,14 4,30000000,-0.9905,7.2
320,Stonewall,2015,4,5,10,4 14,13500000,-0.8408,5.2
321,Straight Outta Compton,2015,0,6,10,14 4 14,28000000,-0.9916,7.8
322,Suffragette,2015,5,5,5,4 14,14000000,-0.989,6.9
323,Ted 2,2015,2,5,10,2,68000000,-0.9724,6.3
324,Terminator Genisys,2015,2,6,5,1 6 5,155000000,0.3585,6.3
325,The 33,2015,4,4,4,14 4 14,26000000,-0.7613,6.9
326,Unfriended,2015,3,7,10,10 11 8,1000000,-0.9989,5.5
327,The Visit,2015,4,6,5,10 11 8,5000000,-0.9946,6.2
328,The Walk,2015,3,3,3,6 14 4,35000000,0.9907,7.3
329,The Water Diviner,2015,5,7,3,4 14 17,22500000,-0.997,7
330,We Are Your Friends,2015,7,5,10,4 16 13,2000000,0.9847,6.2
331,Woman in Gold,2015,1,4,5,14 4 14,11000000,-0.9948,7.3
332,About Last Night,2014,7,2,10,2 13,12500000,0.8555,6.1
333,American Sniper,2014,3,8,10,1 14 4,58800000,-0.9976,7.3
334,Annabelle,2014,2,7,2,10 11 8,6500000,-0.9948,5.4
335,Annie,2014,2,3,3,2 4 7,50000000,0.999,6.6
336,Bad Words,2014,6,3,6,2 4,10000000,0.719,6.6
337,Before I Go to Sleep,2014,6,6,5,4 10 11,22000000,-0.6669,6.3
338,Big Eyes,2014,2,4,5,14 3 4,10000000,-0.074,7
339,Big Hero 6,2014,1,4,1,12 1 6,165000000,1,7.8
340,The Book of Life,2014,2,3,1,2 9,350000,0.9995,7.3
341,Boyhood,2014,5,4,8,4,4000000,-0.4217,7.9
342,Brick Mansions,2014,3,6,5,1 3 8,28000000,0.9125,5.7
343,Cake,2014,5,4,7,4,7000000,-0.9993,6.4
344,Captain America: The Winter Soldier,2014,1,6,3,1 6 5,170000000,-0.9983,7.7
345,The Congress,2014,7,4,6,12 4 5,9561487.6,-0.9111,6.5
346,Divergent,2014,2,6,3,1 6 11,85000000,0.9909,6.7
347,Dracula Untold,2014,3,6,1,1 4 9,70000000,-0.9859,6.3
348,Draft Day,2014,3,2,5,4 15,25000000,-0.802,6.8
349,Earth to Echo,2014,1,3,4,6 7 5,13000000,-0.856,5.8
350,The Gambler,2014,6,4,10,3 4 8,25000000,-0.9234,6
351,God Help the Girl,2014,5,3,5,4 16 13,1850000,0.9571,6.4
352,Godzilla,2014,1,5,3,1 6 5,160000000,-0.9946,6.4
353,Hercules,2014,5,7,5,12 6 2,85000000,-0.9944,7.3
354,The Identical,2014,2,3,2,4 16,16000000,0.9686,5.2
355,"I, Frankenstein",2014,1,7,3,1 9 5,65000000,-0.9978,5.1
356,The Imitation Game,2014,2,4,4,14 4 8,14000000,-0.988,8
357,Interstellar,2014,1,5,5,6 4 5,165000000,-0.9723,8.6
358,The Interview,2014,7,8,10,1 6 2,44000000,-0.9982,6.5
359,Into the Storm,2014,2,6,4,1 6 4,50000000,-0.0387,5.8
360,Into the Woods,2014,3,4,2,6 2 4,50000000,-0.9989,5.9
361,Jersey Boys,2014,4,4,8,14 4 16,40000000,0.9911,6.8
362,John Wick,2014,2,7,9,1 3 8,20000000,-0.9983,7.4
363,The Judge,2014,5,4,7,3 4,50000000,-0.9845,7.4
364,The Lego Movie,2014,1,3,2,12 1 6,60000000,0.9997,7.7
365,Locke,2014,3,3,10,4,2000000,-0.8481,7.1
366,Magic in the Moonlight,2014,2,2,3,2 4 13,16800000,0.9972,6.5
367,Maleficent,2014,1,4,2,1 6 7,180000000,-0.9964,7
368,Million Dollar Arm,2014,3,2,2,14 4 15,25000000,0.9437,7
369,Need For Speed,2014,3,6,4,1 3 8,66000000,-0.9719,6.4
370,Noah,2014,3,6,1,1 6 4,125000000,-0.995,5.7
371,Non-Stop,2014,1,5,5,1 11 8,50000000,-0.8752,6.9
